订单交易时间,订单编号,订单来源,用户ID,会员,首次下单用户,性别,品类,商品单价,购买数量,活动优惠,换货,退货,已评价
2023-01-01 00:00:00,O00000001,直播下单,U01961,否,否,男,服饰,51,1,是,0,1,1
2023-01-01 00:00:00,O00000002,直播下单,U00482,否,否,女,服饰,100,1,否,0,0,0
2023-01-01 00:00:00,O00000003,店铺下单,U00316,否,否,女,家居,60,1,是,0,0,1
2023-01-01 00:00:00,O00000004,直播下单,U01638,是,否,女,数码,156,1,否,0,0,0
2023-01-01 00:00:00,O00000005,店铺下单,U00554,否,是,女,食品,52,3,否,0,0,1
2023-01-01 00:00:00,O00000006,直播下单,U01763,是,否,女,食品,154,1,否,0,0,1
2023-01-01 00:00:00,O00000007,直播下单,U00856,是,否,女,食品,114,1,否,0,0,1
2023-01-01 00:00:00,O00000008,直播下单,U00403,否,否,男,家居,174,1,是,1,0,0
2023-01-01 00:00:00,O00000009,店铺下单,U01924,是,否,女,数码,80,1,否,0,0,1
2023-01-01 00:00:00,O00000010,店铺下单,U01833,否,是,女,家居,119,3,是,0,0,1
2023-01-01 00:00:00,O00000011,直播下单,U00321,否,是,女,数码,194,2,是,0,0,1
2023-01-01 00:00:00,O00000012,直播下单,U01083,否,否,男,服饰,81,1,否,0,0,1
2023-01-01 00:00:00,O00000013,店铺下单,U00237,否,否,男,数码,172,1,否,0,0,0
2023-01-01 00:00:00,O00000014,店铺下单,U01658,否,否,女,家居,186,1,否,0,0,1
2023-01-01 00:00:00,O00000015,店铺下单,U00330,是,否,女,家居,112,1,是,0,0,1
2023-01-02 00:00:00,O00000016,直播下单,U00741,否,否,男,家居,149,4,是,0,0,1
2023-01-02 00:00:00,O00000017,直播下单,U00857,否,否,女,服饰,76,1,否,0,0,1
2023-01-02 00:00:00,O00000018,直播下单,U00683,否,否,女,服饰,175,2,否,0,0,0
2023-01-02 00:00:00,O00000019,直播下单,U01028,是,是,男,数码,129,1,否,0,0,1
2023-01-02 00:00:00,O00000020,直播下单,U00772,否,否,男,服饰,131,2,否,0,0,1
2023-01-02 00:00:00,O00000021,店铺下单,U00853,是,否,女,服饰,158,1,是,0,0,1
2023-01-02 00:00:00,O00000022,店铺下单,U00605,是,是,男,数码,177,1,是,0,0,1
2023-01-02 00:00:00,O00000023,直播下单,U01136,是,否,男,数码,78,1,是,0,0,1
2023-01-02 00:00:00,O00000024,直播下单,U01096,否,否,男,食品,78,1,否,0,0,1
2023-01-02 00:00:00,O00000025,直播下单,U00774,否,否,女,服饰,82,1,是,0,0,1
2023-01-02 00:00:00,O00000026,直播下单,U01631,是,否,女,服饰,140,3,是,0,0,1
2023-01-02 00:00:00,O00000027,直播下单,U01505,否,是,女,食品,191,1,是,0,0,0
2023-01-02 00:00:00,O00000028,直播下单,U00060,否,否,女,数码,48,1,是,0,0,0
2023-01-02 00:00:00,O00000029,直播下单,U00760,否,否,男,服饰,47,1,是,0,0,0
2023-01-02 00:00:00,O00000030,直播下单,U00685,是,否,女,服饰,88,1,是,0,0,1
2023-01-02 00:00:00,O00000031,店铺下单,U01020,否,是,女,家居,123,1,否,0,0,0
2023-01-02 00:00:00,O00000032,直播下单,U00856,否,否,女,食品,99,1,否,0,0,1
2023-01-02 00:00:00,O00000033,店铺下单,U00221,否,是,男,家居,78,1,是,0,0,1
2023-01-02 00:00:00,O00000034,店铺下单,U00295,否,否,女,服饰,195,1,否,0,0,1
2023-01-02 00:00:00,O00000035,店铺下单,U01700,是,否,男,服饰,194,1,是,0,0,1
2023-01-03 00:00:00,O00000036,店铺下单,U00554,是,否,女,食品,186,1,否,0,0,1
2023-01-03 00:00:00,O00000037,店铺下单,U00272,是,否,女,数码,100,1,是,0,0,1
2023-01-03 00:00:00,O00000038,直播下单,U01318,是,否,女,家居,152,2,否,0,0,1
2023-01-03 00:00:00,O00000039,店铺下单,U00137,是,否,女,家居,94,1,是,0,0,1
2023-01-03 00:00:00,O00000040,店铺下单,U01420,否,否,男,服饰,128,1,是,0,0,1
2023-01-03 00:00:00,O00000041,店铺下单,U00519,否,否,男,服饰,147,1,是,0,0,1
2023-01-03 00:00:00,O00000042,直播下单,U01484,否,否,女,数码,53,1,否,0,0,1
2023-01-03 00:00:00,O00000043,店铺下单,U00360,否,否,女,数码,180,4,否,0,0,0
2023-01-03 00:00:00,O00000044,直播下单,U01493,否,是,女,数码,160,1,是,0,0,0
2023-01-03 00:00:00,O00000045,直播下单,U00276,否,否,男,数码,44,1,否,0,0,0
2023-01-03 00:00:00,O00000046,店铺下单,U01732,否,否,女,数码,44,1,否,0,0,1
2023-01-03 00:00:00,O00000047,店铺下单,U00572,否,否,女,家居,113,1,否,0,0,1
2023-01-03 00:00:00,O00000048,直播下单,U01307,是,否,男,家居,46,2,是,0,0,1
2023-01-03 00:00:00,O00000049,直播下单,U01704,是,否,男,家居,159,1,是,0,0,1
2023-01-04 00:00:00,O00000050,店铺下单,U01717,是,否,女,服饰,67,1,否,0,0,1
2023-01-04 00:00:00,O00000051,直播下单,U00714,否,是,女,食品,154,1,是,0,0,0
2023-01-04 00:00:00,O00000052,店铺下单,U00944,是,否,男,服饰,187,1,是,0,1,0
2023-01-04 00:00:00,O00000053,店铺下单,U00427,是,否,男,服饰,155,1,否,0,0,1
2023-01-04 00:00:00,O00000054,直播下单,U00396,是,否,男,家居,74,1,否,0,0,1
2023-01-04 00:00:00,O00000055,直播下单,U00309,是,是,女,数码,83,2,是,0,0,1
2023-01-04 00:00:00,O00000056,店铺下单,U01344,是,否,女,数码,54,1,否,1,1,1
2023-01-04 00:00:00,O00000057,店铺下单,U01525,是,否,女,家居,124,1,否,0,0,0
2023-01-05 00:00:00,O00000058,店铺下单,U01406,是,否,女,食品,41,1,否,0,0,1
2023-01-05 00:00:00,O00000059,店铺下单,U00350,是,否,男,数码,152,1,否,0,0,1
2023-01-05 00:00:00,O00000060,直播下单,U01485,是,否,男,数码,104,1,否,0,0,1
2023-01-05 00:00:00,O00000061,直播下单,U01125,否,否,男,服饰,189,1,否,0,0,1
2023-01-05 00:00:00,O00000062,直播下单,U01050,是,否,女,食品,187,2,是,0,0,0
2023-01-06 00:00:00,O00000063,直播下单,U01965,否,否,女,食品,189,1,否,0,0,1
